new_index,expected_timeline,category_refined,expected_timeline_ko
412,quote has been sent to customer.,Uncategorized,quote has been sent to customer.
508,partner was exploring on eol model for some requiremeent. no designated sales or closure expected hence closing in the system.,Uncategorized,partner was exploring on eol model for some requiremeent. no designated sales or closure expected hence closing in the system.
552,already close in july purchse with rd,Uncategorized,already close in july purchse with rd
553,client not interested in product.. receing call and not answering properly,Uncategorized,관심 없음
583,repeated inquiry from client. he was just inquiring but have not confimred on purchase. we have tried mulitple times but client is not interested in buying.,Uncategorized,관심 없음
584,update- 7th aug--demo given. customer will confirm next week,less than 3 months,update- 7th aug--demo given. customer will confirm next week
585,tried to reach him multipe times from last 7 days but couldn't get through,less than 3 months,tried to reach him multipe times from last 7 days but couldn't get through
586,details send,Uncategorized,details send
587,discused with ankit in dehli,Uncategorized,discused with ankit in dehli
588,requires detail for tender. no purchase requirement right now.,Uncategorized,requires detail for tender. no purchase requirement right now.
589,"partner is into static signages. he need to connect for digital signage but he himself is manufacturer. although a mail initaited for any requirements with led team to take it ahead. as of now, there is no scope hence closing in system.",Uncategorized,"partner is into static signages. he need to connect for digital signage but he himself is manufacturer. although a mail initaited for any requirements with led team to take it ahead. as of now, there is no scope hence closing in system."
608,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
609,not require,Uncategorized,not require
610,discussed with client details mailed. they have budge issue for now so they wont buy hence closing in yhe system.,Uncategorized,discussed with client details mailed. they have budge issue for now so they wont buy hence closing in yhe system.
613,details send,Uncategorized,details send
620,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
625,he is looking for video wall & idb for his office. our bdo jayant is in touch with him and sharing the required details to customer.,Uncategorized,찾고 있음
636,details shared,Uncategorized,details shared
637,demo to be aligned,Uncategorized,demo to be aligned
639,il220100042906 - repeat inquiry hence closing this in system.,Uncategorized,il220100042906 - repeat inquiry hence closing this in system.
742,update- 13th spet--follow up to be done on 15th sept,Uncategorized,추적
750,details shared with customer. as on 4th may- tried multiple times but not reachable,Uncategorized,연락 불가
864,"partner is already in touch with our rd, orno. the partner needs to cross check on the information as the size is changed from 49 to 50 now. closing the opprtunity as its existing with rd.",Uncategorized,"partner is already in touch with our rd, orno. the partner needs to cross check on the information as the size is changed from 49 to 50 now. closing the opprtunity as its existing with rd."
869,rnr,Uncategorized,rnr
870,budget issue,Uncategorized,예산 문제
871,scheduling a meeting,Uncategorized,scheduling a meeting
886,customer want demo of idb. he will come for demo in next week. after following up with customer multiple times there is no update. lead has been forwarded to rd.,less than 3 months,customer want demo of idb. he will come for demo in next week. after following up with customer multiple times there is no update. lead has been forwarded to rd.
910,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
911,details send,Uncategorized,details send
